,SongID,Lyrics
0,"AdictoTainy, Anuel AA & Ozuna","['*********************', 'Error: URL not valid', 'adicto', 'tainy', 'https://genius.com/tainy-adicto-lyrics']"
1,BabyLil Baby & DaBaby,"['*********************', 'Error: URL not valid', 'baby', 'lil-baby-and-dababy', 'https://genius.com/lil-baby-and-dababy-baby-lyrics']"
2,When I Grow UpNF,"['[Verse 1]', 'Yeah, when I grow up, you know what I wanna be?', 'Take a seat, let me tell you my ridiculous dreams', ""I wanna rap, yeah, I know it's hard to believe"", ""And I can tell you're already thinkin' I will never succeed"", ""But I'm okay with it, I admit the lyrics are weak"", ""I've been workin' on 'em, I'll be good eventually"", 'I understand you gotta crawl before you get to your feet', ""But I been running for a while, they ain't ready for me, ahh"", ""I know this prolly isn't really realistic"", 'And honestly, I might not ever make a difference', ""But that don't make a difference, I'ma have to risk it"", ""I've been crunchin' numbers, you ain't gotta be a mathematician"", ""To see the odds ain't rootin' for me"", ""I can't lie though, it's kinda how I like it to be"", 'The underdog, yeah, you prolly think you know what I mean', ""But what I'm saying is they ever push me, I'm gonna swing, yeah"", 'I could go to college, get in debt like everybody else', ""Graduate and prolly get a job that doesn't pay the bills"", ""That don't make a lot of sense to me, forget the Happy Meals"", ""I don't like the dollar menu, I would rather make a meal"", ""Huh? Make a mil'? Nah, I said make a meal"", ""Home-cookin', get the grill, how you want it? Pretty well?"", ""Everything I see is overdone to me, I'm not Adele"", ""But I'ma get a record deal and say hello to mass appeal"", '', '[Chorus]', 'When I grow up, I just want to pay my bills', ""Rappin' about the way I feel (Oh, yeah)"", ""I just want to make a couple mil'"", 'Leave it to the fam in the will (Oh, yeah)', 'I just want to sign a record deal', 'Maybe buy a house up in the hills (Oh, yeah)', 'Might not be the best in my field', ""But I guarantee that I'ma die real"", 'When I grow up', '', '[Post-Chorus]', 'Yeah, ayy', 'When I grow up', 'Yeah, yeah, ayy', '', '[Verse 2]', ""I'ma make 'em notice me, rhymin' like it's poetry"", 'Everything I oversee, I just like to overthink', ""Mockin' me, you pay the fee, no return and no receipts"", ""Those of you that don't believe, quiet, you don't know a thing"", ""Quiet when I'm tryna sing, quiet when I'm making beats"", ""Quiet when I'm tryna think, sorry, I don't mean to scream"", ""I just feel like no one really gets me and it's sad to see"", ""'Cause someday I'ma grow up and show all of you it's meant to be (Yeah)"", 'Anybody wanna hear me rap? ""No""', 'Come on, let me play a couple tracks, ""No""', 'Come on, I can spit it really fast, ""No""', 'You think I should throw this in the trash? ""No""', 'Tricked ya; haters, go away before I hit ya', 'I am not a beggar or a kiss-up', ""You don't understand? Well, I forgive ya"", ""I am not a quitter, you ain't really think that, did ya?"", 'Maybe someday I could even be up on the radio', 'Have a tour bus and maybe even play a couple shows', 'Everybody in the crowd singing every word I wrote', ""Tellin' me that I am not the only one that feels alone"", 'Huh? You feel alone? Yeah, I kinda feel alone', ""Wonder if that feelin' ever goes away when you get old"", ""Will I ever make it as an artist? I don't really know"", 'Might not make a lot of dough', ""I'ma have to try it, though"", '', '[Chorus]', 'When I grow up', 'I just wanna pay my bills', ""Rappin' about the way I feel (Oh, yeah)"", ""I just wanna make a couple mil'"", 'Leave it to the fam in the will (Oh, yeah)', '(Leave it to the fam in the will)', '(Yeah, yeah, yeah, yeah)', 'I just wanna sign a record deal', 'Maybe buy a house up in the hills (Okay, oh, yeah)', 'Might not be the best in my field (Ayy, ayy, yeah)', ""But I guarantee that I'ma die real"", 'When I grow up', 'I just wanna pay my bills (Woo)', ""Rappin' about the way I feel (Oh, yeah)"", '(Yeah, the way I feel)', ""Yeah, I just wanna make a couple mil' (Ayy, couple mil')"", 'Leave it to the fam in the will (Oh, yeah, to the fam in the will)', 'I just wanna sign a record deal (Woo)', 'Maybe buy a house up in the hills (Oh, yeah)', '(House up in the hills)', 'Yeah, I might not be the best in my field', ""But I guarantee that I'ma die real"", 'When I grow up', 'When I grow up']"
3,Dance MonkeyTones And I,"['[Verse 1]', 'They say, ""Oh my God, I see the way you shine', 'Take your hands, my dear, and place them both in mine""', 'You know you stopped me dead while I was passing by', 'And now I beg to see you dance just one more time', '', '[Pre-Chorus]', 'Ooh, I see you, see you, see you every time', 'And oh my, I, I like your style', 'You, you make me, make me, make me wanna cry', 'And now I beg to see you dance just one more time', '', '[Chorus]', 'So they say', 'Dance for me, dance for me, dance for me, oh-oh-oh', ""I've never seen anybody do the things you do before"", 'They say', 'Move for me, move for me, move for me, ayy-ayy-ayy', ""And when you’re done, I'll make you do it all again"", '', '[Verse 2]', 'I said, ""Oh my God, I see you walking by', 'Take my hands, my dear, and look me in my eyes""', ""Just like a monkey, I've been dancin’ my whole life"", 'But you just beg to see me dance just one more time', '', '[Pre-Chorus]', 'Ooh, I see you, see you, see you every time', 'And oh my, I, I like your style', 'You, you make me, make me, make me wanna cry', 'And now I beg to see you dance just one more time', '', '[Chorus]', 'So they say', 'Dance for me, dance for me, dance for me, oh-oh-oh', ""I've never seen anybody do the things you do before"", 'They say', 'Move for me, move for me, move for me, ayy-ayy-ayy', ""And when you're done, I'll make you do it all again"", 'They say', 'Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh', ""I've never seen anybody do the things you do before"", 'They say', 'Move for me, move for me, move for me, ayy-ayy-ayy', ""And when you're done, I'll make you do it all again"", '', '[Bridge]', 'Ooh, ooh, ooh, ooh, ooh', 'Oh-oh, oh-oh, oh', 'Ooh, ooh, ooh, ooh, ooh-ooh', 'Ooh, ah-ah, ah-ah', '', '[Chorus]', 'They say', 'Dance for me, dance for me, dance for me, oh-oh-oh', ""I've never seen anybody do the things you do before"", 'They say', 'Move for me, move for me, move for me, ayy-ayy-ayy', 'And when you’re done, I’ll make you do it all again', 'They say', 'Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh', ""I've never seen anybody do the things you do before"", 'They say', 'Move for me, move for me, move for me, ayy-ayy-ayy', ""And when you’re done, I'll make you do it all again"", 'All again']"
4,Yellow HeartsAnt Saunders,"['[Chorus]', 'She put my name with yellow hearts', 'Her favorite color, like the stars', ""I didn't listen very\u2005hard"", 'When\u2005she told me\u2005she was crazy from the start', 'She\u2005put my name with yellow hearts (Yeah, she did)', 'I said she was a work of art (Work of art)', ""I didn't listen very hard (Very hard, no, no)"", 'When she told me she was crazy from the start', '', '[Verse 1]', 'I drive down open roads so slow', ""Here comes a train, I'll let it go"", ""Ain't got nobody on my phone"", ""Don't like being all alone (Don't like being all alone)"", 'Not good at keeping with the trends (No, no)', 'Too good at welcoming amends', ""It's been a while since I've heard her say"", 'That we were more than friends (Oh)', 'Oh, I, I-I-I, know a lot is going on', 'But girl, please tell me', ""And I'll let you be"", 'Are you still with me or not?', '', '[Chorus]', 'She put my name with yellow hearts', 'Her favorite color, like the stars', ""I didn't listen very hard"", 'When she told me she was crazy from the start', 'She put my name with yellow hearts (Yeah, she did)', 'I said she was a work of art (Work of art)', ""I didn't listen very hard (Very hard, no, no)"", 'When she told me she was crazy from the start', '', '[Refrain]', 'She put yellow hearts around my name', 'I thought they were all just the same', 'To you, what do they really mean?', 'Have you only been playing games?', '', '[Verse 2]', ""I'm by the garden with the carpenter bees"", ""Like I'm Bob Ross-in' with a Harden beard"", 'Taking it all in like I got no issues in my nature', 'Primroses blooming in the night', 'Birds wanna take me on a flight', ""Appreciating my land 'fore it turns into a glacier"", 'Chasers are of no good use', 'This taste will be long endured', ""Why'd you have to go so soon?"", 'I thought this was as good as new', '', '[Interlude]', 'She put yellow hearts around my name', 'I thought they were all just the same', 'To you, what do they really mean?', 'Have you only been playing games?', '', '[Chorus]', 'She put my name with yellow hearts (Yeah, she did)', 'Her favorite color, like the stars (Like the stars)', ""I didn't listen very hard (Very hard, no, no)"", 'When she told me she was crazy from the start', 'She put my name with yellow hearts (She put yellow hearts around my name)', 'I said she was a work of art (I thought they were all just the same)', ""I didn't listen very hard (To you, what do they really mean?)"", 'When she told me she was crazy from the start (Have you only been playing games?)', '', '[Outro]', 'Have you only been playing games?', 'No, no']"
5,HeartlessThe Weeknd,"['[Intro]', 'Young Metro, young Metro, young Metro (Sheesh)', 'Ayy (Ayy)', 'Young Metro, young Metro', '', '[Verse 1]', ""Never need a bitch, I'm\u2005what\u2005a bitch need\u2005(Bitch need)"", 'Tryna find the one that\u2005can fix me', ""I've been dodgin' death in the six speed"", ""Amphetamine got my stummy feelin' sickly"", 'Yeah, I want it all now', ""I've been runnin' through the pussy, need a dog pound"", ""Hundred models gettin' faded in the compound"", 'Tryna love me, but they never get a pulse down', '', '[Chorus]', ""Why? 'Cause I'm heartless"", ""And I'm back to my ways 'cause I'm heartless"", 'All this money and this pain got me heartless', ""Low life for life 'cause I'm heartless"", ""Said I'm heartless"", ""Tryna be a better man, but I'm heartless"", ""Never be a weddin' plan for the heartless"", ""Low life for life 'cause I'm heartless"", '', '[Verse 2]', ""Said I'm heartless"", ""So much pussy, it be fallin' out the pocket"", 'Metro Boomin turn this ho into a moshpit', ""Tesla pill got me flyin' like a cockpit"", ""Yeah, I got her watchin'"", 'Call me up, turn that pussy to a faucet', 'Duffle bags full of drugs and a rocket', 'Stix drunk, but he never miss a target', ""Photoshoots, I'm a star now (Star)"", ""I'm talkin' Time, Rolling Stone, and Bazaar now ('Zaar)"", ""Sellin' dreams to these girls with their guard down (What?)"", ""Seven years, I've been swimmin' with the sharks now"", '', '[Chorus]', ""Why? 'Cause I'm heartless"", ""And I'm back to my ways 'cause I'm heartless"", 'All this money and this pain got me heartless', ""Low life for life 'cause I'm heartless"", ""Said I'm heartless"", ""Tryna be a better man, but I'm heartless"", ""Never be a weddin' plan for the heartless"", ""Low life for life 'cause I'm heartless"", '', '[Bridge]', 'I lost my heart and my mind', 'I try to always do right', 'I thought I lost you this time', 'You just came back in my life', ""You never gave up on me (Why don't you?)"", ""I'll never know what you see (Why won't you?)"", ""I don't do well when alone (Oh yeah)"", 'You hear it clear in my tone', '', '[Chorus]', ""'Cause I'm heartless"", ""And I'm back to my ways 'cause I'm heartless"", 'All this money and this pain got me heartless', ""Low life for life 'cause I'm heartless"", ""Said I'm heartless"", ""Tryna be a better man, but I'm heartless"", ""Never be a weddin' plan for the heartless"", ""Low life for life 'cause I'm heartless""]"
6,Make It RightBTS Featuring Lauv,"['[Verse 1: V]', '내가 날 눈치챘던 순간', '떠나야만 했어', '난 찾아내야 했어', 'All day all night', '', '[Verse 2: Jimin]', '사막과 바다들을 건너', '넓고 넓은 세계를', '헤매어 다녔어', 'Baby I', '', '[Refrain: Jungkook]', 'I could make it better', 'I could hold you tighter', '그 먼 길 위에서', 'Oh you’re the light', '', '[Verse 4: V]', '초대받지 못한', '환영받지 못한', '나를 알아줬던 단 한 사람', '', '[Pre-Chorus: Jungkook, Jin, Jimin]', '끝도 보이지 않던 영원의 밤', '내게 아침을 선물한 건 너야', '이제 그 손 내가 잡아도 될까', 'Oh oh', 'I can make it right', '', '[Chorus: Jungkook, Jimin]', 'All right', 'All right', 'Oh I can make it right', '', '[Chorus: Jungkook, Jimin, V]', 'All right', 'All right', 'Oh I can make it right', '', '[Verse 5: J-Hope]', '이 세상 속에 영웅이 된 나', '나를 찾는 큰 환호와', '내 손, 트로피와 금빛 마이크', 'All day, everywhere', 'But 모든 게 너에게 닿기 위함인 걸', '내 여정의 답인 걸', '널 찾기 위해 노래해', 'Baby to you', '', '[Verse 6: RM]', '전보다 조금 더 커진 키에', '좀 더 단단해진 목소리에', '모든 건 네게 돌아가기 위해', '이제 너라는 지도를 활짝 펼칠게', 'My rehab', '날 봐 왜 못 알아봐', '남들의 아우성 따위 나 듣고 싶지 않아', '너의 향기는 여전히 나를 꿰뚫어 무너뜨려', '되돌아가자 그때로', '', '[Refrain: Jin]', 'Baby I know', 'I can make it better', 'I can hold you tighter', '그 모든 길은 널', '향한 거야', '', '[Verse 7: Jimin]', '다 소용없었어', '너 아닌 다른 건', '그때처럼 날 어루만져줘', '', '[Pre-Chorus: Jungkook, Jin, Jimin]', '끝도 보이지 않던 영원의 밤', '내게 아침을 선물한 건 너야', '이제 그 손 내가 잡아도 될까', 'Oh oh', 'I can make it right', '', '[Chorus: Jungkook, Jimin]', 'All right', 'All right', 'Oh I can make it right', '', '[Chorus: Jungkook, Jimin, V]', 'All right', 'All right', 'Oh I can make it right', '', '[Bridge: Suga]', '여전히 아름다운 너', '그날의 그때처럼 말없이 그냥 날 안아줘', '지옥에서 내가 살아 남은 건', '날 위했던 게 아닌 되려 너를 위한 거란 걸', '안다면 주저 말고 please save my life', '너 없이 헤쳐왔던 사막 위는 목말라', '그러니 어서 빨리 날 잡아줘', '너 없는 바다는 결국 사막과 같을 거란 걸 알아', '', '[Refrain: Jimin, Jungkook]', 'All right', 'I can make it better', 'I can hold you tighter', 'Oh I can make it right', '', '[Outro: V, Jimin]', '다 소용없었어', '너 아닌 다른 건', 'Oh I can make it right', '', '[Jungkook, Jimin, V]', 'All right', 'All right', 'Oh I can make it right']"
7,The ArcherTaylor Swift,"['[Verse 1]', ""Combat, I'm ready for combat"", ""I say I don't want that, but what if I do?"", ""'Cause cruelty wins in the movies"", ""I've got a hundred thrown-out speeches I almost said to you"", '', '[Pre-Chorus]', 'Easy they come, easy they go', 'I jump from the train, I ride off alone', ""I never grew up, it's getting so old"", 'Help me hold on to you', '', '[Chorus]', ""I've been the archer, I've been the prey"", 'Who could ever leave me, darling', 'But who could stay?', '', '[Verse 2]', 'Dark side, I search for your dark side', ""But what if I'm alright, right, right, right here?"", 'And I cut off my nose just to spite my face', 'Then I hate my reflection for years and years', '', '[Pre-Chorus]', 'I wake in the night, I pace like a ghost', 'The room is on fire, invisible smoke', 'And all of my heroes die all alone', 'Help me hold on to you', '', '[Chorus]', ""I've been the archer, I've been the prey"", 'Screaming, who could ever leave me, darling', 'But who could stay?', '(I see right through me, I see right through me)', '', '[Bridge]', ""'Cause they see right through me"", 'They see right through me', 'They see right through', 'Can you see right through me?', 'They see right through', 'They see right through me', 'I see right through me', 'I see right through me', '', '[Pre-Chorus]', ""All the king's horses, all the king's men"", ""Couldn't put me together again"", ""'Cause all of my enemies started out friends"", 'Help me hold on to you', '', '[Chorus]', ""I've been the archer, I've been the prey"", 'Who could ever leave me, darling', 'But who could stay?', '(I see right through me, I see right through me)', 'Who could stay?', 'Who could stay?', 'Who could stay?', 'You could stay', 'You could stay', '', '[Outro]', ""Combat, I'm ready for combat""]"
8,Cornelia StreetTaylor Swift,"['[Verse 1]', 'We were in the backseat', 'Drunk on something stronger than the drinks in the bar', '""I rent\u2005a\u2005place on Cornelia\u2005Street""', 'I say casually in the car', 'We\u2005were a fresh page on the desk', 'Filling in the blanks as we go', 'As if the street lights pointed in an arrow head', 'Leading us home', '', '[Chorus]', 'And I hope I never lose you, hope it never ends', ""I'd never walk Cornelia Street again"", ""That's the kinda heartbreak time could never mend"", ""I'd never walk Cornelia Street again"", 'And baby, I get mystified by how this city screams your name', ""And baby, I'm so terrified of if you ever walk away"", ""I'd never walk Cornelia Street again"", ""I'd never walk Cornelia Street again"", '', '[Verse 2]', 'Windows flung right open, autumn air', ""Jacket 'round my shoulders is yours"", 'We bless the rains on Cornelia Street', 'Memorize the creaks in the floor', 'Back when we were card sharks, playing games', 'I thought you were leading me on', 'I packed my bags, left Cornelia Street', 'Before you even knew I was gone', '', '[Pre-Chorus]', 'But then you called, showed your hand', 'I turned around before I hit the tunnel', 'Sat on the roof, you and I', '', '[Chorus]', 'I hope I never lose you, hope it never ends', ""I'd never walk Cornelia Street again"", ""That's the kinda heartbreak time could never mend"", ""I'd never walk Cornelia Street again"", 'And baby, I get mystified by how this city screams your name', ""And baby, I'm so terrified of if you ever walk away"", ""I'd never walk Cornelia Street again"", ""I'd never walk Cornelia Street again"", '', '[Bridge]', 'You hold my hand on the street', 'Walk me back to that apartment', 'Years ago, we were just inside', 'Barefoot in the kitchen', 'Sacred new beginnings', 'That became my religion, listen', '', '[Chorus]', 'I hope I never lose you', ""I'd never walk Cornelia Street again"", 'Oh, never again', 'And baby, I get mystified by how this city screams your name', ""And baby, I'm so terrified of if you ever walk away"", ""I'd never walk Cornelia Street again"", ""I'd never walk Cornelia Street again"", '', '[Post-Chorus]', ""I don't wanna lose you (Hope it never ends)"", ""I'd never walk Cornelia Street again"", ""I don't wanna lose you (Yeah)"", '', '[Outro]', '""I rent a place on Cornelia Street""', 'I say casually in the car']"
9,Prayed For YouMatt Stell,"['[Verse 1]', ""I've never been one to ask for help"", 'If I need a mountain moved, I move it myself', ""I ain't the church pew regular, twice on Sunday"", 'Quote you the scripture kind', ""I'm far from a preacher"", ""But I'm a believer"", '', '[Chorus 1]', ""'Cause every single day, before I knew your name"", ""I couldn't see your face, but I prayed for you"", 'Every heartbreak trail when all hope failed', 'On the highway to hell, I prayed for you', 'I kept my faith like that old King James', ""Said I'm supposed to"", ""It's hard to imagine, bigger than I could fathom"", ""I didn't know you from Adam, but I prayed for you"", '', '[Verse 2]', 'For someone to love me like you do', 'Graceful eyes to see me through', 'A smile that steals me, a heart that heals me', 'A touch that kills me too', ""And baby, you're perfect, I guess the good Lord heard it"", '', '[Chorus 1]', ""'Cause every single day, before I knew your name"", ""I couldn't see your face, but I prayed for you"", 'Every heartbreak trail when all hope failed', 'On the highway to hell, I prayed for you', 'I kept my faith like that old King James', ""Said I'm supposed to"", ""It's hard to imagine, bigger than I could fathom"", ""I didn't know you from Adam, but I prayed for you"", '', '[Chorus 2]', 'Every single day, before I knew your name', ""I couldn't see your face, but I prayed for you"", 'Every tail light fade in the goodbye rain', 'Girl, even today, I prayed for you', 'I kept my faith like that old King James', ""Said I'm supposed to"", ""It's hard to imagine, bigger than I could fathom"", ""I didn't know you from Adam, but I prayed for you"", 'I prayed for you', 'I prayed for you']"
