,SongID,Lyrics
0,Into The UnknownPanic! At The Disco,"['*********************', 'Error: URL not valid', 'into-the-unknown', 'panic-at-the-disco', 'https://genius.com/panic-at-the-disco-into-the-unknown-lyrics']"
1,Talk You Out Of ItFlorida Georgia Line,"['[Verse 1]', 'Girl, I know you had a long day', ""You ain't feelin' them downtown lights"", 'But I got a bottle at your favorite place', ""Just waitin' for us in a bucket on ice"", ""Damn, I didn't think it'd be that easy"", ""'Cause now you're gettin' ready"", ""I'm just sittin' there watchin' TV"", ""Here you come lookin' like a grown man's dream"", ""Damn, I can't believe, I can't believe"", '', '[Chorus]', ""I talked you into slippin' down the hall, baby, turn it on"", ""Your playlist you play when you're in the shower"", 'Talked you into taking up my time, making up your mind', 'Switching back and forth for an hour', ""And now you're lookin' like a line from a Vandross song"", ""I'm looking at that fine little dress you got on"", ""Don't get me wrong, girl, I love it"", 'Now I just wanna talk you out of it', '', '[Verse 2]', 'Yeah, as cool as it would be', ""Watchin' people wonder who you are"", 'Oh, we should just say we did, we can start with a kiss', 'And pretend we just got back from the bar', '', '[Chorus]', ""I talked you into slippin' down the hall, baby, turn it on"", ""Your playlist you play when you're in the shower"", 'Talked you into taking up my time, making up your mind', 'Switching back and forth for an hour', ""And now you're lookin' like a line from a Vandross song"", ""I'm looking at that fine little dress you got on"", ""Don't get me wrong, girl, I love it"", 'Now I just wanna talk you out of it', '', '[Bridge]', ""Yeah, it's a little cold outside"", ""Music's probably way too loud"", 'To hear you laugh', ""And there's a look in your eyes"", ""Looks like we ain't leavin' now"", ""Girl, I'm so glad, I'm so glad"", '', '[Chorus]', ""I talked you into slippin' down the hall, baby, turn it on"", ""Your playlist you play when you're in the shower"", 'Talked you into taking up my time, making up your mind', 'Switching back and forth for an hour', ""And now you're lookin' like a line from a Vandross song"", ""I'm looking at that fine little dress you got on"", ""Don't get me wrong, girl, I love it"", 'Now I just wanna talk you out of it']"
2,Heartache MedicationJon Pardi,"['[Verse 1]', 'Same old dive, same old end of the work week drink', ""Bartender knows my name, but I don't mind"", ""She kicks 'em up strong, serves me up right"", '', '[Chorus]', ""And here I go again, I'm drinkin' one, I'm drinkin' two"", 'I got my heartache medication, a strong dedication', ""To gettin' over you, turnin' me loose"", 'On that hardwood jukebox lost in neon time', 'My heartache medication, well, it suits me fine', ""And I'm drinkin' enough to take you off my mind"", 'I got my heartache medication', '', '[Verse 2]', 'Another girl, another dance to a country song', ""Turnin' me on, here's to a good time"", ""And halfway to feelin' alright"", '', '[Chorus]', ""And here I go again, I'm drinkin' one, I'm drinkin' two"", 'I got my heartache medication, a strong dedication', ""To gettin' over you, turnin' me loose"", 'On that hardwood jukebox lost in neon time', 'My heartache medication, well it suits me fine', ""And I'm drinkin' enough to take you off my mind"", 'I got my heartache medication', '', '[Bridge]', ""Single, drinkin' doubles"", ""Teardrops turnin' into bubbles"", 'Yeah, a little later on', ""I'll probably find me some trouble"", '', '[Chorus]', ""And here I go again, I'm drinkin' one, I'm drinkin' two"", 'I got my heartache medication, a strong dedication', ""To gettin' over you, turnin' me loose"", 'On that hardwood jukebox lost in neon time', 'My heartache medication, well it suits me fine', ""And I'm drinkin' enough to take you off my mind"", 'I got my heartache medication', '', '[Outro]', ""Heartache medication takin' me away"", 'Oh whoa']"
3,"Hey Look Ma, I Made ItPanic! At The Disco","['[Verse 1]', ""All my life, been hustlin'"", 'And tonight is my appraisal', ""'Cause I'm a hooker sellin' songs"", ""And my pimp's a record label"", 'This world is full of demons', 'Stocks and bonds and bible traders', 'So I do the deed', 'Get up and leave', 'A climber and a sadist, yeah', '', '[Pre-Chorus]', 'Are you ready for the sequel?', ""Ain't ready for the latest?"", 'In the garden of evil', ""I'm gonna be the greatest"", 'In a golden cathedral', ""I'll be praying for the faithless"", 'And if you lose, boo-hoo', '', '[Chorus]', 'Hey look ma, I made it', 'Hey look ma, I made it', ""Everything's comin' up aces, aces"", ""If it’s a dream, don't wake me, don't wake me"", 'I said, “Hey look ma, I made it.”', '', '[Verse 2]', 'Friends are happy for me', ""Or they're honeysuckle phonies"", 'Then they celebrate my medals', 'Or they wanna take my trophies', 'Some are loyal soldiers', 'While these other thorns are rosy', 'And if you never know who you can trust', ""Then trust me, you'll be lonely, oh"", '', '[Pre-Chorus]', 'Are you ready for the sequel?', ""Ain't you ready for the latest?"", 'In the garden of evil', ""I'm gonna be the greatest"", 'In a golden cathedral', ""I'll be praying for the faithless"", 'And if you lose, boo-hoo', '', '[Chorus]', 'Hey look ma, I made it', 'Hey look ma, I made it', ""Everything's comin' up aces, aces"", ""If it's a dream, don't wake me, don't wake me"", 'I said, “Hey look ma, I made it, I made it.”', 'I said, “Hey look ma, I made it, I made it.”', 'I see it, I want it, I take it, take it', ""If it's a dream, don't wake me, don't wake me"", '', '[Outro]', 'I said, “Hey look ma, I made it.”', '(Mama best believe it, Mama best believe it)', 'Hey look ma, I made it', ""(Think I must be dreamin', wide awake and dreamin')"", 'Hey look ma, I made it', '(Mama best believe it, Mama best believe it)', 'Hey look ma, I made it', ""(Think I must be dreamin')"", 'Hey look ma, I made it']"
4,LivingDierks Bentley,"['[Verse 1]', ""This mornin' I got up at 6:01"", 'I walked out and saw the rising sun', 'And I drank it in like whiskey', ""I saw a tree I've seen a thousand times"", 'A bird on a branch and I watched it fly away in the wind', 'And it hit me', ""It's a beautiful world sometimes I don't see so clear"", '', '[Chorus]', 'Some days you just breath in', 'Just try to break even', ""Sometimes your heart's poundin' out of your chest"", ""Sometimes it's just beatin'"", 'Some days you just forget', ""What all you've been given"", 'Some days you just get by', ""And some days you're just alive"", ""Some days you're livin'"", ""Some days you're livin'"", '', '[Verse 2]', 'I went back in and fired the coffee up', 'She walked in the kitchen like she always does', 'In my t-shirt and it killed me', 'And I kissed her like it was the first time', ""She laughed and looked at me like I'd lost my mind"", 'I said ""Baby, I love you, can\'t live without you, I know I don\'t say it enough""', '', '[Chorus]', 'Some days you just breath in', 'Just try to break even', ""Sometimes your heart's poundin' out of your chest"", ""Sometimes it's just beatin'"", 'Some days you just forget', ""What all you've been given"", 'Some days you just get by', ""And some days you're just alive"", ""Some days you're livin'"", ""Some days you're livin'"", '', '[Post-Chorus]', 'Like you never die', ""Blue's a little bluer up in the sky"", ""You're high's a little high"", ""You feel that fire you've been missing"", ""Some days you're living"", '', ""It'a beautiful world sometimes I don't see so clear"", '', '[Chorus]', ""Some days you start singin'"", ""And you don't need a reason"", ""Sometimes the world's just right"", ""Your clear eyes ain't even blinkin'"", 'Got a heart full of grateful', ""For all you've been given"", 'Some days you just get by', ""Yeah some days you're just alive"", ""Some days you're livin'"", ""Some days you're livin'"", '', '[Post-Chorus]', ""Livin' like you'll never die"", ""Blue's a little bluer up in the sky"", ""You're high's a little high"", ""You feel that fire you've been missin'"", ""Some days you're living"", ""Some days you're living""]"
5,Love You Too LateCole Swindell,"['[Verse 1]', 'I wish this whiskey would make her miss me', 'Like I wish she did, I wish she did', ""Pouring up another one won't change what I should have done"", ""Before she left, now all that's left is"", '', '[Pre-Chorus 1]', 'Mile by mile and', ""City by city she's"", ""Gettin' over me, and man it ain't pretty, no"", '', '[Chorus]', ""She's out there rolling down some old interstate"", 'Wide open, wide open', ""Couldn't make her stay"", 'Probably cranking up some new freedom song', 'Wide open, wide open', ""Won't pick up her phone"", ""While I'm dying here tonight"", 'Staring goodbye in the face', 'Saying I love you too late', 'Too late', '', '[Verse 2]', ""I can't take back what I never said"", 'But if I could, man I would', 'Try and make her see', 'That me and Tennessee want her back', 'I wish it worked like that', 'Yeah', '', '[Pre-Chorus 2]', 'If I had half a clue', 'Where she was headed now', ""I'd do what I had to do"", 'To make her turn that car around', '', '[Chorus]', ""She's out there rolling down some old interstate"", 'Wide open, wide open', ""Couldn't make her stay"", 'Probably cranking up some new freedom song', 'Wide open, wide open', ""Won't pick up her phone"", ""While I'm dying here tonight"", 'Staring goodbye in the face', 'Saying I love you too late', 'Too late', '', '[Bridge]', ""Yeah, I should've held her close"", ""I should've let her know"", ""How I felt about her 'bout a couple county lines ago"", '', '[Chorus]', ""She's out there rolling down some old interstate"", 'Wide open, wide open', ""Couldn't make her stay"", 'Probably cranking up some new freedom song', 'Wide open, wide open', ""Won't pick up her phone"", ""While I'm dying here tonight"", 'Staring goodbye in the face', 'Saying I love you too late', 'Too late', '', '[Outro]', 'Yeah', 'I love you too late', ""I can't take back what I never said"", 'But if I could, damn I would']"
6,Good VibesChris Janson,"['[Verse 1]', ""I ain't watching TV today"", 'Bad news, it can just stay away', 'If you ain’t got anything good to say', 'Then shut your mouth', 'I got my windows down and my blinders on', 'Radio set to my favorite song', ""All green lights on the road I'm on"", ""Man, there ain't no doubt"", '', '[Chorus]', 'I’m getting them good vibes', ""I'm living this good life"", ""I'm breathing on God's time"", ""And I ain't gonna waste one breath"", ""I'm soaking it all up"", 'I got me a full cup', ""And there ain't nothing gonna spill it"", 'Nothing gonna kill it', 'Waving them worries goodbye', ""I'm feeling them good vibes"", '', '[Verse 2]', 'I ain’t tryna hear the negative', 'I’m just tryna change the narrative', ""It's simply imperative"", 'That we all have a damn good time', '', '[Chorus]', 'I’m getting them good vibes', ""I'm living this good life"", ""I'm breathing on God's time"", 'And I ain’t gonna waste one breath', ""I'm soaking it all up"", 'I got me a full cup', ""And there ain't nothing gonna spill it"", 'Nothing gonna kill it', 'Waving them worries goodbye', ""I'm feeling them good vibes"", ""Oh, I'm feeling them good vibes"", '', '[Bridge]', 'I got a good girl', 'She got a good smile', 'I kiss her good morning', 'I kiss her good night', 'We keep it on the up', ""That's how we get down"", ""So don't be coming around"", '', '[Chorus]', 'Unless you got them good vibes', ""I'm living this good life"", ""I'm breathing on God's time"", ""And I ain't gonna waste one breath"", ""I'm soaking it all up"", 'I got me a full cup', ""And there ain't nothing gonna spill it"", 'Nothing gonna kill it', 'Waving them worries goodbye', ""I'm feeling them good vibes"", ""I'm breathing on God's time"", ""And I ain't gonna waste one breath"", ""I'm soaking it all up"", 'I got me a full cup', ""And there ain't nothing gonna spill it"", 'Nothing gonna kill it', 'Waving them worries goodbye', ""I'm feeling them good vibes"", ""Oh, I'm feeling them good vibes"", 'Yeah']"
7,Fear InoculumTool,"['[Verse 1]', 'Immunity, long overdue', 'Contagion, I exhale you', 'Naive, I opened up to you', 'Venom and mania', 'Now, contagion, I exhale you', '', '[Interlude]', 'The deceiver says, he says', '""You belong to me', ""You don't wanna breathe the light of the others"", 'Fear the light, fear the breath', 'Fear the others for eternity""', 'But I hear them now, inhale the clarity', 'Hear the venom, the venom in', 'What you say inoculated', 'Bless this immunity', 'Bless this immunity', 'Bless this immunity', '', '[Chorus]', 'Exhale, expel', 'Recast my tale', 'Weave my allegorical elegy', '', '[Verse 2]', ""Enumerate all that I'm to do"", 'Calculating steps away from you', 'My own mitosis', 'Growing through division from mania', '', '[Chorus]', 'Exhale, expel', 'Recast my tale', 'Weave my allegorical elegy', '', '[Bridge]', 'Forfeit all control', 'You poison, you spectacle', 'Exorcise the spectacle', 'Exorcise the malady', 'Exorcise the disparate', 'Poison for eternity', 'Purge me and evacuate', 'The venom and the fear that binds me', '', '[Outro]', 'Your veil now, lift away', ""I see you runnin'"", 'Deceiver chased away', ""A long time comin'""]"
8,Like It's ChristmasJonas Brothers,"['[Intro]', 'Dum-dum-dum-dum', '', '[Verse 1: Nick Jonas]', 'The snow on the ground, the love in the air', ""Sleigh bells are ringin'"", ""This is what\u2005it's\u2005all about"", ""The fire\u2005is warm, the angels are singin'"", '', '[Pre-Chorus: Nick Jonas with Joe Jonas]', ""And\u2005I don't wanna miss a single thing"", ""Don't wanna put end to all this cheer"", ""But as long as you're with me"", ""It's always the time of the year"", '', '[Chorus: Joe Jonas with Nick Jonas]', ""You make everyday feel like it's Christmas"", 'Never wanna stop', ""Feelin' like the first thing on your wishlist"", 'Right up at the top', ""I can't deny what I'm feelin' inside"", ""Nothin' fake about the way you bring me to life"", ""You make every day feel like it's Christmas"", ""Everyday that I'm with you"", '', '[Verse 2: Joe Jonas with Nick Jonas]', 'Look at the lights', ""Twinklin' bright 24/7"", 'Every inch of Central Park is covered in white', 'This could be heaven', '', '[Pre-Chorus: Joe Jonas with Nick Jonas]', ""And I don't wanna miss a single thing"", ""Don't wanna put end to all this cheer"", ""But as long as you're with me"", ""It's always the time of the year, yeah (woo!)"", '', '[Chorus: Joe Jonas with Nick Jonas, Nick Jonas]', ""You make everyday feel like it's Christmas (Like it's Christmas)"", 'Never wanna stop', ""Feelin' like the first thing on your wishlist"", 'Right up at the top', ""I can't deny what I'm feelin' inside"", ""Nothin' fake about the way you bring me to life"", ""You make everyday feel like it's Christmas"", ""Everyday that I'm with you"", '', '[Bridge: Joe Jonas & Nick Jonas]', ""Woo, woo, woo, yeah (Every day that I'm with you)"", 'Every day, every night (Oh, oh, all day)', '', '[Chorus: Joe Jonas with Nick Jonas]', ""You make everyday feel like it's Christmas"", 'Never wanna stop', ""Feelin' like the first thing on your wishlist"", ""Right up at the top (And I can't deny)"", ""I can't deny what I'm feelin' inside"", ""Nothin' fake about the way you bring me to life"", ""You make everyday feel like it's Christmas"", ""Everyday that I'm with you"", '', '[Outro: Joe Jonas & Nick Jonas]', 'Hey, hey, yeah', 'Everyday, la-la-la', ""I can't deny what I'm feelin' inside"", 'No matter the reason, no matter decision', ""My heart will keep beatin', you better believe"", ""You make everyday feel like it's Christmas (Like it's Christmas)"", ""Everyday that I'm with you (Oh-oh-oh, oh-oh-oh, oh-oh-oh)"", ""Everyday that I'm with you (Oh-oh-oh, oh-oh-oh, oh-oh-oh)"", ""Everyday that I'm with you""]"
9,Love Ain'tEli Young Band,"['[Verse 1]', 'Hotels are made for two night stays, checking in and out', 'Meeting strangers in the lobby', 'Waking up and leaving town the next day', ""But love ain't"", ""And whiskey's poured for when you're bored"", 'And alone on Friday night', 'When you want to lose yourself', 'And need a place to hide from all the pain', ""But love ain't"", '', '[Chorus]', ""Love ain't you on a sidewalk in your new dress all alone"", ""Love ain't you calling me 'cause he ain't picking up his phone"", ""The way you're talking sounds like he's somebody you should hate"", ""I may not know what love is girl, but I know what love ain't"", ""Come over, let me show you what he can't"", ""'Cause he can only show you what love ain't"", '', '[Verse 2]', 'Sad movies are for crying on the couch there in the dark', 'That sad song it was written just to try and get your heart to break', ""But love ain't"", '', '[Chorus]', ""Love ain't you on a sidewalk in your new dress all alone"", ""Love ain't you calling me 'cause he ain't picking up his phone"", ""The way you're talking sounds like he's somebody you should hate"", ""I may not know what love is girl, but I know what love ain't"", ""Come over, let me show you what he can't"", ""'Cause he can only show you what love ain't"", '', '[Bridge]', ""(Love ain't)"", ""I wonder what he's doing"", ""(Love ain't)"", 'Feeling like a fool', ""(And you can't)"", 'Keep letting him do it to you', '', '[Chorus]', ""'Cause love ain't you on a sidewalk in your new dress all alone"", ""Love ain't you calling me 'cause he ain't picking up his phone"", ""The way you're talking sounds like he's somebody you should hate"", ""I may not know what love is girl, but I know what love ain't"", ""I may not know what love is girl, but I know what love ain't"", ""Come over, let me show you what he can't"", ""'Cause he can only show you what love ain't"", ""Love ain't (Love ain't), oh yeah (Love ain't)"", ""Love ain't""]"
